En,Nk
There was a sudden loud noise,갑자기 큰 소리가 났다
She wants to be a doctor when she grows up,그는 어른이 되면 의사가 되고싶어한다
a day or two,하루이틀
for a few days,며칠간
many a time,몇번이고
He is a Ri Sung Gi in his scientific genius,그는 과학적천품에 있어서 리승기라고 할만한 인물이다
a Stuart,스츄어트가문의 사람
an early Rembrandt,초기렘브란트의 작품
A cheetah can run faster than a lion,치따는 사자보다 빨리 달릴수 있다
twice a week,매주 두번
"A coffee, please",커피 한잔 주십시오
for a that,그럼에도 불구하고
American Academy of Arts and Letters,미국문학예술원
Afro-Asian Peoples Solidarity Organization,"아시아, 아프리카인민단결기구"
be taken aback,깜짝 놀라다
I was completely taken aback by his request,나는 그의 부탁에 대경실색하였다
I was rather taken aback by her honesty,나는 그 녀자의 정직성에 다소 놀랐다
He was completely taken aback at the question,그는 그 질문에 깜짝 놀랐다
abandon all hope of doing,할 모든 희망을 버리다
The game was abandoned due to the bad weather,나쁜 날씨로 경기는 중지되였다
They abandoned their attempt to recapture the castle,그들은 성을 되찾으려는 공격시도를 포기하였다
We had to abandon the car and walk the rest of the way,우리는 차를 버리고 남은 로정을 걷지않으면 안되였다
an abandoned jeep stood in the street,거리에 버려진채로 있는 찦차
He said nothing but looked abashed,그는 아무 말도 않했지만 창피한듯이 보였다
Nothing abated his crusading zeal,그 무엇도 그의 개혁열의를 식히지 못했다
an abatement in the purchase price,구입가격의 감소
Atomic Bomb Casualty Commission,원자폭탄피해조사위원회
The king was forced to abdicate the throne,왕은 왕위에서 물러나지 않으면 안되였다
The king abdicated in favour of his eldest son,왕은 맏아들에게 자리를 내주려고 퇴위했다
acute abdominal pains,심한 배아픔
abdominal surgery,복부외과
He was abducted from his car by terrorists,그는 테로분자들에 의하여 자기차에서 랍치되였다
child abduction,어린이유괴
lie abed,자리에 누워있다
Aberdeen,주민
They described the outbreak of violence in the area as an aberration,그들은 그 지역에서의 폭력발생을 비정상적인 사태로 묘사하였다
The project is being held in abeyance until agreement is reached on funding it,그 계획은 자금제공에 관한 합의가 이루어질 때까지 중지중에 있다
abhor all forms of racism,모든 형태의 인종주의를 증오하다
societys abhorrence of crime,범죄에 대한 사회의 증오심
have an abhorrence of snakes,뱀을 몹시 싫어하다
Racial discrimination is abhorrent to us all,우리 모두는 인종차별을 용납할수 없다
abide in memory,기억에 남다
Competitors have to abide by the referees decision,선수들은 심판의 결정을 따라야 한다
He has an abiding respect for his father,그는 자기 아버지를 변함없이 존경하고있다
"The health center serves all patients, regardless of their ability to pay",그 병원은 지불능력에 관계없이 모든 환자들에게 봉사한다
natural ability,타고난 재능
a mixed ability class,각이한 수준의 학생들이 망라된 학급
He is a writer of remarkable ability,그는 뛰여난 재능을 가진 작가이다
The agreement should be declared void ab initio,협정은 애초에 무효로 선언되여야 한다
in abject poverty,극심한 가난속에
an abject apology,비굴한 사과
the ablative case,탈격
the spacecrafts ablative heat shield,우주비행선의 용융열차페
Forests are sometimes set ablaze by lightning,수림은 때때로 번개에 의해 불이 붙는다
It is believed that the factory was set ablaze deliberately,누군가가 고의적으로 공장에 불을 질렀다고 보고있다
"a pleasure boat, with all its lights ablaze",불을 환하게 켠 유람선
a field ablaze with summer flowers,여름꽃으로 울긋불긋한 들판
His eyes were ablaze with fury,그의 눈은 분노로 이글거렸다
all ablebodied young men,모든 건장한 청년들
El Nino is caused by abnormal amounts of warm water in the Pacific Ocean,엘니뇨현상은 태평양의 비정상적인 량의 더운 물에 의하여 일어난다
My parents thought it was abnormal for a boy to be interested in ballet,나의 부모는 사내아이가 발레에 흥미를 가지는것은 비정상이라고 생각했다
come aboard as ABCs new chairman ABC,의 새 회장으로 오다
another ship close aboard,배전에 붙은 다른 배
fall aboard of,다른배와 충돌하다
We spent two months aboard ship,배우에서 두달을 보냈다
abolitionary nri,페지의
Abomb victims,원자폭탄희생자
The uprising was suppressed with abominable cruelty,봉기는 잔인무도하게 진압되였다
abomination of desolation,성지를 황페화하는 몹쓸 놈
The bomber aborted from its mission,폭격기는 임무수행을 중지하였다
The rescue mission had to be aborted,구조임무는 중지하지 않으면 안되였다
The flight crew aborted the takeoff,승조원들은 리륙을 그만두었다
an abort because of bad weather,나쁜 날씨에 의한 비행중지
illegal abortions,비법적인 임신중절
Jane made two abortive attempt at suicide,제인은 자살하려고 두번 시도하였으나 실패하였다
abortus fever,류산열
Theories abound about how the earth began,지구가 어떻게 생겨났는가에 대한 리론은 많다
The coast here abounds with rare plants,여기 연안에는 희귀한 식물들이 풍부하다
The city abounds in historic remains,도시에는 력사유적들이 많다
aboundingly,풍부하게
aboundingly,매우 많이
a movie about the war,전쟁에 관한 영화
there's nothing we can do about it,그것과 관련하여 우리가 할수 있는 일은 없다
somewhere about here,이 근처 어딘가에
walk about the streets,거리를 이리저리 걷다
Books were scattered about the room,책이 방안 여기저기에 어지럽게 널려 있었다
There is something wrong about it,그것은 무엇인가 잘못되였다
What I like about the job is that its never boring,내가 이 직업을 좋아하는것은 일이 전혀 고리타분하지 않기때문이다
Leadership is all about getting your team to cooperate,팀에 대한 지도는 팀의 협동을 이루게 하는데 목적을 두고있다
It is all about having fun,그것은 즐기자는것이다
What about Chol Su We cant just leave him here,"철수는 어떻게 할가, 여기 남겨둘수는 없지 않아"
What about it,그래서 어쨌단 말이냐
while you're about it,하는 동안
what was all that about,무슨 일이 있었어
about a month ago,약 한달전에
This is about the nicest weather weve had,아마 지금까지 있어보지 못한 좋은 날씨다
People were rushing about trying to find the driver,사람들은 운전수를 찾느라 여기저기 뛰여다녔다
He quickly turned about and walked away,그는 급히 돌아서더니 걸어가버렸다
I m not about to take the job,그런 일은 떠맡고싶지 않다
Despite considerable pain she has been getting out and about almost as usual,상당히 아픔에도 불구하고 그는 예나 다름없이 일어나다닌다
the room above,웃층에 있는 방
captains and above,대위급이상의 군관
as mentioned above,우에서 언급한바와 같이
from above,상부로부터
We just obey orders from above,우리는 상급으로부터의 명령에 복종할뿐이다
a mirror above the washbasin,세면대우에 있는 거울
a display of fireworks above the capital,수도의 상공에 펼쳐진 축포
Her name comes above mine on the list,명단에서 그의 이름은 내 이름우에 온다
The great bird was flying high above our heads,큰 새가 우리 머리우 높이 날고있었다
The unemployment rate will soar above its present level,실업률은 현재수준이상으로 높아질것이다
The next person above him is the sales manager,그의 다음 상급은 판매부장이다
She married above her,그는 신분이 높은 사람과 결혼하였다
He values friendship above money,그는 돈보다 우정을 귀중히 여긴다
above a whisper,귀속말보다 크게
His voice was heard clear above the noises,그의 목소리는 소음속에서도 똑똑히 들렸다
"He is hardworking, cheerful, and above all honest",그는 근면하고 쾌활하며 그리고 무엇보다도 정직하다
above and beyond,외에
above and beyond,을 초월하여
at the above address,상기주소에
Refer to the above,우의것을 참조하시오
The above justifies this,이상은 이것이 정당함을 증명한다
The deal was completely open and above board,그것은 완전히 정당하고 합법적인 거래였다
The creation of profits was a marvelous bit of abracadabra,리윤을 창조하는것은 아주 간단한 일이였다
sham Abraham,꾀병을 앓다
sham Abraham,미친체하다
There were cuts and abrasions to the lips and jaw,입술과 턱에 째진 자리와 긁힌 자리가 있었다
The metal is resistant to abrasion,금속은 내마모성이다
fast abrasive rhythms,빠르고 귀에 거슬리는 리듬
Her abrasive and arrogant personal style won her few friends,그는 무례하고 거만한 인품으로 하여 동무가 얼마 없었다
walk abreast,나란히 걷다
run two abreast,두사람이 나란히 뛰다
They were riding three abreast,셋이 나란히 자전거를 타고 달렸다
"As the car drew abreast of him, Jack suddenly recognised the driver",차가 자기 옆으로 다가오자 그는 차운전수를 알아보았다
Its important to keep abreast of the latest developments in computers,콤퓨터의 최신발전에 관한 정보를 언제나 장악하고있는것이 중요하다
at home and abroad,국내외에서
go abroad,외국으로가다
live abroad,해외생활을하다
Few people ventured abroad from their warm houses,따뜻한 집에서 감히 밖으로 나간 사람은 몇명되지 않았다
a tree spreading its branches abroad,사방으로 가지를 친 나무
there's a rumour abroad that she intends to leave the company,그가 회사를 떠나려고 한다는 소문이 나돌고있다
all abroad,아주 얼토당토않은
goods imported from abroad,외국에서 수입한 상품
a proposal to abrogate temporarily the right to strike,파업할 권리를 림시 박탈할데 대한 제안
abscond from a childrens home,육아원에서 도망치다
absence of mind,멍하고있음
absence of mind,얼빠짐
absence of mind,방심
Absence makes the heart grow fonder,떨어져있으면 그리워진다
Absence makes the heart grow fonder,정이 있으면 꿈에도 보인다
be regularly absent from school,정기적으로 결석하다
Any sign of remorse was completely absent from her face,그의 얼굴에서 가책의 빛은 조금도 찾아볼수 없었다
Wings are absent in several species of crane flies,여러 종의 왕모기들에는 날개가 없다
Long absent soon forgotten,오래동안 나가 있는 사람은 점점 잊어지는 법이다
"Halfway through the meal, he absented himself from the table",식사도중에 그는 식탁에서 떠났다
She absentmindedly left her umbrella on the bus,그는 아무 생각없이 뻐스에 우산을 둬두었다
absolute secrecy,절대비밀
absolute silence,완전한 침묵
have absolute confidence in,를 절대신임하다
absolute proof,확실한 증거
an absolute monarch,전제군주
absolute right,절대권
absolute moral standards,절대적인 도덕적기준
an absolute construction,독립구문
