nk,en
경애하는 아버지 김정은원수님께서 조선소년단 제９차대회 대표들과 뜻깊은 기념사진을 찍으시였다,Respected Fatherly Marshal Kim Jong Un Has Photo Session with Participants in 9th Congress of KCU
사회주의조선의 위대한 태양이시며 온 나라 대가정의 자애로운 어버이이신 경애하는 김정은원수님께서 주체１１２(２０２３)년 새해의 첫날 조선소년단 제９차대회 대표들과 뜻깊은 기념사진을 찍으시였다.,"The respected Marshal Kim Jong Un, the great sun of socialist Korea and benevolent father of a large family of the whole country, had a significant photo session with the participants in the 9th Congress of the Korean Children’s Union (KCU) on January 1 on the occasion of the New Year Juche 112 (2023)."
사랑하는 소년단원들의 대회합을 당과 국가의 중대사로 내세우시고 온 나라의 관심과 축복속에 성대히 진행하도록 한량없는 은정을 거듭 베풀어주신 아버지원수님을 희망넘친 설날에 만나뵙고 꿈결에도 소원하던 영광의 기념사진을 찍게 된 학생소년들의 가슴가슴은 무한한 행복감으로 세차게 높뛰였다.,"The schoolchildren were filled with great happiness as they would pose for their pictures of glory with the fatherly Marshal, which they wanted in dreams, in the hopeful New Year’s Day. He showed another great affection of making sure that the grand gathering of the beloved Children’s Union members was held under the care and blessing of the whole country, regarding it as an important affair of the Party and the state."
"환영곡이 울리는 가운데 아버지원수님께서 촬영장에 도착하시자 전체 참가자들은 소년단원들을 억만금의 보화에도 비길수 없는 나라의 귀중한 보배로, 희망과 미래의 전부로 여기시며 뜨거운 열과 정을 다해 훌륭히 키워주시는 원수님을 격정속에 우러르며 열광의 환호성을 터쳐올리였다.","When the fatherly Marshal arrived at the venue for the photo session amid the playing of the welcome music, all the participants raised passionate cheers, looking up to the Marshal who is bringing up the Children’s Union members with his warm feelings, regarding them as the priceless assets of the country and the whole of the hope and future."
아버지원수님께 소년단대표들이 붉은넥타이를 매여드리고 온 나라 학생소년들의 다함없는 고마움과 새해축원의 인사를 담아 향기그윽한 꽃다발을 삼가 올리였다.,"Delegates of the KCU put a red tie around his neck and presented a fragrant bouquet to him, reflecting the boundless gratitude and best wishes of the New Year of the schoolchildren across the country."
"원수님께서는 열광적인 환호에 답례하시며 조선소년단 제９차대회를 통하여 주체적소년운동의 빛나는 력사와 전통, 혁명의 붉은 피줄기를 꿋꿋이 이어나가는 조선소년들의 활기찬 기상을 다시한번 힘있게 과시하고 새해를 뜻깊게 맞이한 소년단대표들에게 따뜻한 축하를 보내시였다.","Acknowledging the enthusiastic cheers, he warmly congratulated the delegates of the Children’s Union who significantly greeted the New Year, powerfully demonstrating once again the viable spirit of the Korean children who are stoutly carrying forward the brilliant history and tradition of the Juche-oriented children’s movement and the red bloodline of revolution through the Ninth Congress of the KCU"
"원수님께서는 조국번영의 새로운 한해를 소년단원들의 밝은 웃음소리, 담찬 발구름소리를 들으며 시작하는것은 미래를 위한 성스러운 위업의 정당성을 확신하며 나아가는 우리 당과 국가, 인민에게 있어서 참으로 크나큰 힘이고 기쁨이라고 하시면서 혁명의 훌륭한 교대자인 ３００만 소년단원들이 있기에 주체위업의 전도와 사회주의조선의 앞날은 무궁창창하다고 말씀하시였다.","Saying that it is a great courage and pleasure for the Party, state and people advancing, convinced of the validity of the sacred cause for the future, to spend the first day of the new year of the country’s prosperity, hearing the bright laughter and bold footsteps of the KCU members, he added that the prospect of the Juche cause and the future of socialist Korea are rosy as there are the three million KCU members, excellent successors to the revolution."
아버지원수님께서는 온 나라 소년단원들이 부디 모두 건강하여 우리 조국의 미래를 위하여 지덕체를 갖춘 유능한 인재로 더욱 씩씩하게 성장해줄것을 바라시면서 참가자들을 사랑의 한품에 안으시고 기념사진을 찍으시였다.,"Hoping that the KCU members across the country would more stoutly grow up in good health to be competent talents, knowledgeable, virtuous and healthy, for the future of the country, he had a photo session with the participants."
기념촬영이 끝나자 육친의 정을 또다시 받아안은 참가자들은 아버지원수님을 우러러 감격과 환희에 넘쳐 목청껏 《만세！》를 불렀다.,"After the photo session, the participants shouted at the top of their voice ""Hurrah!"", looking up to the Marshal."
원수님께서는 오래도록 대표들을 향해 손저어주시며 전체 소년단원들의 밝은 앞날을 축복해주시였다.,"He blessed the bright future of all the KCU members, waving his hands to the delegates for a long time."
